Accession,Keywords,Go
P12044,"Complete proteome,Isomerase,Purine biosynthesis,Reference proteome","F:5-(carboxyamino)imidazole ribonucleotide mutase activity,P:'de novo' IMP biosynthetic process"
Q5E1R4,"Complete proteome,Isomerase,Purine biosynthesis,Reference proteome","F:5-(carboxyamino)imidazole ribonucleotide mutase activity,P:'de novo' IMP biosynthetic process"
Q87KE1,"Complete proteome,Isomerase,Purine biosynthesis,Reference proteome","F:5-(carboxyamino)imidazole ribonucleotide mutase activity,P:'de novo' IMP biosynthetic process"
Q9KVT7,"Complete proteome,Isomerase,Purine biosynthesis,Reference proteome","F:5-(carboxyamino)imidazole ribonucleotide mutase activity,F:phosphoribosylaminoimidazole carboxylase activity,P:'de novo' IMP biosynthetic process,P:purine ribonucleotide biosynthetic process"
P43849,"Complete proteome,Isomerase,Purine biosynthesis,Reference proteome","F:5-(carboxyamino)imidazole ribonucleotide mutase activity,P:'de novo' IMP biosynthetic process"
Q9WYS7,"3D-structure,Complete proteome,Isomerase,Purine biosynthesis,Reference proteome","F:5-(carboxyamino)imidazole ribonucleotide mutase activity,P:'de novo' IMP biosynthetic process"
Q54QE4,"ATP-binding,Complete proteome,Decarboxylase,Direct protein sequencing,Ligase,Lyase,Magnesium,Manganese,Metal-binding,Multifunctional enzyme,Nucleotide-binding,Purine biosynthesis,Reference proteome","F:ATP binding,F:metal ion binding,F:phosphoribosylaminoimidazole carboxylase activity,F:phosphoribosylaminoimidazolesuccinocarboxamide synthase activity,P:'de novo' IMP biosynthetic process,P:purine nucleobase metabolic process"
Q8FYW3,"Complete proteome,Isomerase,Purine biosynthesis","F:5-(carboxyamino)imidazole ribonucleotide mutase activity,P:'de novo' IMP biosynthetic process"
Q9UY68,"Complete proteome,Isomerase,Purine biosynthesis","F:5-(carboxyamino)imidazole ribonucleotide mutase activity,P:'de novo' IMP biosynthetic process"
B9M4Q6,"Complete proteome,Hydrolase,Multifunctional enzyme,Purine biosynthesis,Reference proteome,Transferase","F:IMP cyclohydrolase activity,F:phosphoribosylaminoimidazolecarboxamide formyltransferase activity,P:'de novo' IMP biosynthetic process"
Q46480,"Complete proteome,Hydrolase,Multifunctional enzyme,Purine biosynthesis,Reference proteome,Transferase","F:IMP cyclohydrolase activity,F:phosphoribosylaminoimidazolecarboxamide formyltransferase activity,P:'de novo' IMP biosynthetic process"
B5XYD2,"Complete proteome,Hydrolase,Multifunctional enzyme,Purine biosynthesis,Transferase","F:IMP cyclohydrolase activity,F:phosphoribosylaminoimidazolecarboxamide formyltransferase activity,P:'de novo' IMP biosynthetic process"
A6TGR3,"Complete proteome,Hydrolase,Multifunctional enzyme,Purine biosynthesis,Reference proteome,Transferase","F:IMP cyclohydrolase activity,F:phosphoribosylaminoimidazolecarboxamide formyltransferase activity,P:'de novo' IMP biosynthetic process"
Q8ZAR3,"Complete proteome,Hydrolase,Multifunctional enzyme,Purine biosynthesis,Reference proteome,Transferase","F:IMP cyclohydrolase activity,F:phosphoribosylaminoimidazolecarboxamide formyltransferase activity,P:'de novo' IMP biosynthetic process"
Q6DAL2,"Complete proteome,Hydrolase,Multifunctional enzyme,Purine biosynthesis,Reference proteome,Transferase","F:IMP cyclohydrolase activity,F:phosphoribosylaminoimidazolecarboxamide formyltransferase activity,P:'de novo' IMP biosynthetic process"
A5G879,"Complete proteome,Hydrolase,Multifunctional enzyme,Purine biosynthesis,Reference proteome,Transferase","F:IMP cyclohydrolase activity,F:phosphoribosylaminoimidazolecarboxamide formyltransferase activity,P:'de novo' IMP biosynthetic process"
A9MHC3,"Complete proteome,Hydrolase,Multifunctional enzyme,Purine biosynthesis,Reference proteome,Transferase","F:IMP cyclohydrolase activity,F:phosphoribosylaminoimidazolecarboxamide formyltransferase activity,P:'de novo' IMP biosynthetic process"
Q66FN5,"Complete proteome,Hydrolase,Multifunctional enzyme,Purine biosynthesis,Transferase","F:IMP cyclohydrolase activity,F:phosphoribosylaminoimidazolecarboxamide formyltransferase activity,P:'de novo' IMP biosynthetic process"
A8G8G3,"Complete proteome,Hydrolase,Multifunctional enzyme,Purine biosynthesis,Reference proteome,Transferase","F:IMP cyclohydrolase activity,F:phosphoribosylaminoimidazolecarboxamide formyltransferase activity,P:'de novo' IMP biosynthetic process"
Q8RNM2,"Cytoplasm,GTP-binding,Ligase,Magnesium,Metal-binding,Nucleotide-binding,Purine biosynthesis","C:cytoplasm,F:adenylosuccinate synthase activity,F:GTP binding,F:metal ion binding,P:'de novo' AMP biosynthetic process"
Q5WZ56,"Complete proteome,Cytoplasm,GTP-binding,Ligase,Magnesium,Metal-binding,Nucleotide-binding,Purine biosynthesis","C:cytoplasm,F:adenylosuccinate synthase activity,F:GTP binding,F:metal ion binding,P:'de novo' AMP biosynthetic process"
Q5X7Q5,"Cytoplasm,GTP-binding,Ligase,Magnesium,Metal-binding,Nucleotide-binding,Purine biosynthesis","C:cytoplasm,F:adenylosuccinate synthase activity,F:GTP binding,F:metal ion binding,P:'de novo' AMP biosynthetic process"
A5IHA9,"Cytoplasm,GTP-binding,Ligase,Magnesium,Metal-binding,Nucleotide-binding,Purine biosynthesis","C:cytoplasm,F:adenylosuccinate synthase activity,F:GTP binding,F:metal ion binding,P:'de novo' AMP biosynthetic process"
Q9HUM6,"Complete proteome,Cytoplasm,GTP-binding,Ligase,Magnesium,Metal-binding,Nucleotide-binding,Purine biosynthesis,Reference proteome","C:cytoplasm,F:adenylosuccinate synthase activity,F:GTP binding,F:metal ion binding,P:'de novo' AMP biosynthetic process,P:IMP metabolic process"
A6VD51,"Complete proteome,Cytoplasm,GTP-binding,Ligase,Magnesium,Metal-binding,Nucleotide-binding,Purine biosynthesis","C:cytoplasm,F:adenylosuccinate synthase activity,F:GTP binding,F:metal ion binding,P:'de novo' AMP biosynthetic process"
A4XPZ3,"Complete proteome,Cytoplasm,GTP-binding,Ligase,Magnesium,Metal-binding,Nucleotide-binding,Purine biosynthesis,Reference proteome","C:cytoplasm,F:adenylosuccinate synthase activity,F:GTP binding,F:metal ion binding,P:'de novo' AMP biosynthetic process"
Q87VJ9,"Complete proteome,Cytoplasm,GTP-binding,Ligase,Magnesium,Metal-binding,Nucleotide-binding,Purine biosynthesis,Reference proteome","C:cytoplasm,F:adenylosuccinate synthase activity,F:GTP binding,F:metal ion binding,P:'de novo' AMP biosynthetic process"
Q4ZYX5,"Complete proteome,Cytoplasm,GTP-binding,Ligase,Magnesium,Metal-binding,Nucleotide-binding,Purine biosynthesis","C:cytoplasm,F:adenylosuccinate synthase activity,F:GTP binding,F:metal ion binding,P:'de novo' AMP biosynthetic process"
Q48NZ7,"Complete proteome,Cytoplasm,GTP-binding,Ligase,Magnesium,Metal-binding,Nucleotide-binding,Purine biosynthesis","C:cytoplasm,F:adenylosuccinate synthase activity,F:GTP binding,F:metal ion binding,P:'de novo' AMP biosynthetic process"
Q5ZXD1,"3D-structure,Complete proteome,Lyase,Purine biosynthesis,Reference proteome","F:(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity,F:N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity,P:'de novo' AMP biosynthetic process,P:'de novo' IMP biosynthetic process"
A5IGB3,"Lyase,Purine biosynthesis","F:(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity,F:N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity,P:'de novo' AMP biosynthetic process,P:'de novo' IMP biosynthetic process"
P0AB90,"Acetylation,Complete proteome,Lyase,Purine biosynthesis","F:(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity,F:N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity,P:'de novo' AMP biosynthetic process,P:'de novo' IMP biosynthetic process"
Q9I0K9,"Complete proteome,Lyase,Purine biosynthesis,Reference proteome","F:(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity,F:N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity,P:'de novo' AMP biosynthetic process,P:'de novo' IMP biosynthetic process"
P44797,"Complete proteome,Lyase,Purine biosynthesis,Reference proteome","F:(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity,F:N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity,P:'de novo' AMP biosynthetic process,P:'de novo' IMP biosynthetic process"
Q8K9Q7,"Complete proteome,Lyase,Purine biosynthesis","F:(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity,F:N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity,P:'de novo' AMP biosynthetic process,P:'de novo' IMP biosynthetic process"
P57351,"Complete proteome,Lyase,Purine biosynthesis,Reference proteome","F:(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity,F:N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity,P:'de novo' AMP biosynthetic process,P:'de novo' IMP biosynthetic process"
Q89AM3,"Complete proteome,Lyase,Purine biosynthesis,Reference proteome","F:(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity,F:N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity,P:'de novo' AMP biosynthetic process,P:'de novo' IMP biosynthetic process"
Q54J34,"Complete proteome,Lyase,Purine biosynthesis,Reference proteome","F:(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity,F:N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity,P:'de novo' AMP biosynthetic process,P:'de novo' IMP biosynthetic process,P:purine nucleotide biosynthetic process"
Q58339,"Complete proteome,Lyase,Purine biosynthesis,Reference proteome","F:(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity,F:N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity,P:'de novo' AMP biosynthetic process,P:'de novo' IMP biosynthetic process"
A6H2D6,"ATP synthesis,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
A5FL19,"ATP synthesis,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
A4FN28,"ATP synthesis,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
B1IE33,"ATP synthesis,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
A7G9Q8,"ATP synthesis,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q6MGM6,"ATP synthesis,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
B3EU99,"ATP synthesis,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
C3KYJ2,"ATP synthesis,Cell membrane,CF(1),Hydrogen ion transport,Ion transport,Membrane,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
B1KSS7,"ATP synthesis,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
C1FQP4,"ATP synthesis,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q5X2Q3,"ATP synthesis,ATP-binding,Cell inner membrane,Cell membrane,CF(1),Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
A5IFJ9,"ATP synthesis,ATP-binding,Cell inner membrane,Cell membrane,CF(1),Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q603U2,"ATP synthesis,ATP-binding,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q2SNG7,"ATP synthesis,ATP-binding,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
A6LJR3,"ATP synthesis,ATP-binding,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
B0BZL2,"ATP synthesis,ATP-binding,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Reference proteome,Thylakoid,Transport","C:proton-transporting ATP synthase complex, catalytic core F(1),C:thylakoid membrane,F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q15SF1,"ATP synthesis,ATP-binding,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
A8F3K0,"ATP synthesis,ATP-binding,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
P08449,"ATP synthesis,ATP-binding,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Thylakoid,Transport","C:proton-transporting ATP synthase complex, catalytic core F(1),C:thylakoid membrane,F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
A2BT25,"ATP synthesis,ATP-binding,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Thylakoid,Transport","C:proton-transporting ATP synthase complex, catalytic core F(1),C:thylakoid membrane,F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q603U6,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q2LY33,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
B4S7A0,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
Q3B400,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
B1XRK5,"ATP synthesis,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Plasmid,Reference proteome,Thylakoid,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),C:thylakoid membrane,F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
B1WXB2,"ATP synthesis,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Thylakoid,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),C:thylakoid membrane,F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
A6VWQ5,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
Q15SF2,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
Q7UH06,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
B6IQS5,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
A3PS63,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Lipid-binding,Membrane,Plasmid,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,F:lipid binding,P:ATP hydrolysis coupled proton transport,P:ATP synthesis coupled proton transport"
Q7V033,"ATP synthesis,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Lipid-binding,Membrane,Reference proteome,Thylakoid,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),C:thylakoid membrane,F:hydrogen ion transmembrane transporter activity,F:lipid binding,P:ATP hydrolysis coupled proton transport,P:ATP synthesis coupled proton transport"
